"Age group","Cases rate vaccinated","Cases rate not vaccinated","Emergency rate vaccinated","Emergency rate not vaccinated","Deaths28 rate vaccinated","Deaths28 rate not vaccinated","Deaths60 rate vaccinated","Deaths60 rate not vaccinated"
"Under 18","549.7","2,795.7","4.3","4.8","0.0","0.0","0.0","0.0"
"18-29","906.3","952.6","2.1","7.8","0.0","0.3","0.1","0.3"
"30-39","1,629.7","1,092.8","4.0","16.6","0.1","1.1","0.2","1.3"
"40-49","2,273.6","1,034.0","7.6","29.1","0.8","2.7","1.1","3.5"
"50-59","1,482.4","780.9","10.7","51.2","1.8","11.0","2.2","13.6"
"60-69","870.9","554.1","15.2","77.0","5.8","25.2","7.5","29.7"
"70-79","324.1","441.3","20.6","118.0","15.0","67.2","18.6","72.8"
"80+","245.4","461.0","40.1","163.6","46.6","157.3","60.1","173.1"

