"Dátum","Regisztrált fertőzöttek száma","Legalább 1 oltással rendelkezők száma"
2021.08.01,32,17
2021.08.02,26,13
2021.08.03,59,25
2021.08.04,72,33
2021.08.05,52,27
2021.08.06,48,24
2021.08.07,64,31
2021.08.08,44,18
2021.08.09,35,22
2021.08.10,80,30
2021.08.11,86,47
2021.08.12,104,50
2021.08.13,72,43
2021.08.14,62,28
2021.08.15,54,30
2021.08.16,45,18
2021.08.17,109,54
2021.08.18,123,63
2021.08.19,118,57
2021.08.20,112,58
2021.08.21,53,26
2021.08.22,57,21
2021.08.23,82,35
2021.08.24,134,65
2021.08.25,180,106
2021.08.26,189,92
2021.08.27,203,95
2021.08.28,154,83
2021.08.29,164,87
2021.08.30,110,52
2021.08.31,194,93
2021.09.01,262,110
2021.09.02,247,130
2021.09.03,274,128
2021.09.04,219,104
2021.09.05,155,76
2021.09.06,130,73
2021.09.07,246,129
2021.09.08,345,182
2021.09.09,323,160
2021.09.10,361,173
2021.09.11,288,138
2021.09.12,224,98
2021.09.13,246,108
2021.09.14,371,188
2021.09.15,458,256
2021.09.16,479,231
2021.09.17,447,224
2021.09.18,348,172
2021.09.19,277,130
2021.09.20,290,138
2021.09.21,499,264
2021.09.22,526,260
2021.09.23,532,230
2021.09.24,499,270
2021.09.25,398,182
2021.09.26,285,126
2021.09.27,266,134
2021.09.28,546,240
2021.09.29,633,296
2021.09.30,679,312
2021.10.01,526,236
2021.10.02,589,254
2021.10.03,377,150
2021.10.04,295,141
2021.10.05,629,274
2021.10.06,837,392
2021.10.07,774,359
2021.10.08,891,404
2021.10.09,659,283
2021.10.10,496,211
2021.10.11,455,214
2021.10.12,814,420
2021.10.13,1140,530
2021.10.14,1249,608
2021.10.15,1369,652
2021.10.16,1054,500
2021.10.17,851,379
2021.10.18,859,418
2021.10.19,1668,832
2021.10.20,2361,1130
2021.10.21,2548,1228
2021.10.22,2811,1346
2021.10.23,2273,1089
2021.10.24,1603,741
2021.10.25,1701,881
2021.10.26,3126,1613
2021.10.27,4039,1935
2021.10.28,4041,1988
2021.10.29,4773,2413
2021.10.30,3761,1957
2021.10.31,2676,1278
